date,mean_temp,max_temp,min_temp,humidity,mean_wspeed,max_wspeed,wdegree,pressure,rainfall,radiation,radiation_balance,uva,uvb,no,no2,ozone,PM10,PM2_5
1/1/2015,1.9,3.3,0.4,89.4,1.4,5.4,190.3,1003.0,0.00,10.8,-3.9,2.23,0.036,21,27,13,96,87
1/2/2015,3.2,6.0,-0.9,80.1,1.8,8.5,234.6,999.4,1.00,8.0,-36.4,2.21,0.038,10,36,16,11,9
1/3/2015,3.9,11.2,0.8,88.3,2.0,15.3,228.4,992.8,11.97,11.4,-24.7,3.00,0.061,18,35,12,9,8
1/4/2015,3.6,5.4,2.1,72.9,2.1,10.2,272.6,998.5,0.00,33.6,-14.1,4.01,0.079,4,17,31,8,5
1/5/2015,2.7,8.2,-0.1,66.6,1.5,4.5,208.3,1001.0,0.00,61.1,-35.8,5.17,0.103,52,50,10,16,11
1/6/2015,1.3,6.5,-1.7,75.0,1.4,4.3,154.1,993.2,0.00,53.7,-34.5,4.86,0.096,92,55,4,28,23
1/7/2015,2.9,5.7,0.1,81.7,1.1,4.3,136.0,996.6,0.09,34.9,-16.6,3.24,0.056,87,52,4,26,22
1/8/2015,7.1,10.4,1.1,75.0,3.1,15.1,230.4,995.8,1.06,14.2,-24.2,3.28,0.073,14,30,22,8,6
1/9/2015,9.0,12.9,5.9,68.3,3.9,14.9,233.6,993.7,2.39,19.7,-17.7,2.61,0.053,3,18,35,4,2
1/10/2015,13.9,16.4,8.8,65.7,4.8,16.1,243.0,986.3,4.72,43.4,-0.5,6.54,0.169,2,5,33,1,0
1/11/2015,5.0,9.4,1.4,68.5,4.1,13.3,256.0,989.3,6.69,30.5,-32.1,3.31,0.060,1,3,47,4,2
1/12/2015,6.0,8.6,4.0,52.2,3.3,13.3,160.0,992.4,0.00,42.3,-17.1,2.58,0.040,18,33,27,10,5
1/13/2015,9.9,16.1,3.4,35.6,2.3,13.9,220.3,984.1,0.00,64.7,-29.7,3.19,0.055,28,45,15,11,7
1/14/2015,7.1,12.7,3.3,71.0,3.3,14.9,239.0,983.3,5.35,29.8,-41.8,2.64,0.045,5,24,31,6,4
1/15/2015,7.5,10.4,3.1,60.8,2.0,7.8,226.1,979.0,0.01,20.2,-16.6,2.00,0.033,17,40,14,11,7
1/16/2015,7.8,10.1,5.4,79.2,1.2,5.7,193.1,975.2,3.78,17.7,-20.5,2.04,0.036,47,49,12,14,10
1/17/2015,4.3,6.5,2.8,87.8,1.5,6.5,244.9,981.9,6.06,15.6,-22.4,2.03,0.030,12,29,16,7,6
1/18/2015,2.1,5.8,-0.5,79.0,1.4,4.9,188.7,984.8,0.25,60.9,-20.0,3.38,0.043,18,31,11,13,11
1/19/2015,1.7,4.9,-0.7,81.4,1.0,4.0,219.8,979.9,2.11,32.2,-18.4,3.03,0.044,44,46,5,18,16
1/20/2015,1.5,2.7,0.3,88.3,1.4,5.0,140.2,979.1,4.11,13.6,-14.5,2.71,0.047,56,46,5,24,21
1/21/2015,2.1,3.9,0.4,77.5,1.5,5.8,75.6,978.3,0.00,17.0,-4.0,2.27,0.034,28,39,8,34,28
1/22/2015,1.6,2.8,0.7,79.2,1.6,5.2,164.3,980.1,0.00,6.6,-10.7,1.92,0.030,21,29,9,30,25
1/23/2015,1.6,2.6,0.6,86.7,1.8,5.3,240.5,988.5,0.61,6.0,-13.6,2.14,0.036,32,28,4,27,25
1/24/2015,1.7,3.3,0.6,78.0,1.6,5.6,263.2,989.5,0.84,27.2,-5.2,2.91,0.047,13,26,12,21,18
1/25/2015,2.2,3.8,0.7,80.4,1.9,8.5,292.7,995.5,0.31,37.3,-0.2,2.87,0.041,5,22,24,17,11
1/26/2015,1.8,3.2,1.0,85.2,2.4,8.4,221.8,991.9,2.86,16.0,-19.7,2.42,0.037,12,35,16,11,8
1/27/2015,3.5,4.9,2.5,75.1,2.6,7.9,269.8,989.2,0.19,31.1,-13.5,2.80,0.044,3,20,30,10,6
1/28/2015,3.6,5.0,2.3,73.0,3.6,13.4,219.3,982.2,0.23,38.0,2.7,3.22,0.055,7,24,25,10,7
1/29/2015,3.5,5.3,1.6,74.8,3.3,11.5,223.7,961.3,0.75,44.9,-16.7,3.21,0.045,5,24,34,6,3
1/30/2015,2.3,5.2,0.3,77.5,2.8,13.0,229.6,947.4,5.18,76.3,0.5,4.31,0.060,6,24,31,6,3
1/31/2015,2.1,4.7,0.3,76.5,2.0,7.2,226.2,952.4,0.52,58.5,-10.6,4.03,0.056,10,34,19,9,7
2/1/2015,1.6,4.1,0.5,78.1,2.5,7.9,234.9,959.3,0.12,34.7,-24.8,2.83,0.035,5,20,26,7,6
2/2/2015,1.2,3.5,-1.7,78.9,2.6,10.4,250.3,968.2,2.10,45.9,-21.8,3.22,0.041,11,31,22,9,7
2/3/2015,-1.0,3.3,-4.7,70.8,1.6,5.1,153.1,971.2,0.00,87.9,-21.3,4.22,0.051,57,61,8,29,17
2/4/2015,-2.2,0.5,-5.4,80.4,1.8,5.2,104.5,978.1,0.00,21.2,-17.4,3.49,0.058,53,54,6,36,27
2/5/2015,-0.6,0.5,-1.9,60.0,3.3,13.3,38.3,982.7,0.00,39.7,5.7,4.52,0.081,29,35,13,26,14
2/6/2015,-0.9,2.4,-3.1,58.2,3.7,12.8,41.9,986.6,0.00,60.8,-25.3,3.56,0.045,20,38,18,31,23
2/7/2015,-2.0,1.7,-5.4,62.6,1.9,6.7,101.0,993.9,0.00,98.8,-14.3,4.35,0.056,24,44,12,41,33
2/8/2015,1.4,4.7,-2.9,58.6,2.2,9.6,258.4,993.6,0.15,58.0,-4.0,3.39,0.047,8,28,25,20,12
2/9/2015,2.0,4.3,-0.3,66.2,2.2,8.4,241.8,996.9,0.00,25.3,1.0,2.57,0.039,8,35,23,17,10
2/10/2015,3.9,5.6,2.5,78.0,1.4,4.8,112.8,997.0,0.00,23.2,1.7,2.35,0.039,35,45,11,25,17
2/11/2015,3.6,8.7,0.1,70.4,1.4,5.5,106.5,993.9,0.00,99.9,7.3,4.15,0.062,19,35,14,29,23
2/12/2015,2.3,9.1,-1.9,73.3,1.3,3.7,148.3,991.0,0.08,110.4,-10.8,4.37,0.064,77,57,4,45,34
2/13/2015,3.0,10.6,-1.8,68.0,1.3,4.2,151.2,986.9,0.24,106.8,-7.8,4.34,0.064,104,67,4,51,36
2/14/2015,4.7,11.0,0.3,63.2,1.2,5.0,111.3,979.7,0.00,87.3,-2.6,3.89,0.055,72,67,4,47,34
2/15/2015,0.9,4.0,-1.2,76.7,1.5,6.0,82.7,979.9,0.00,87.4,4.4,4.31,0.060,24,32,9,37,32
2/16/2015,1.2,5.5,-0.9,78.3,1.3,4.4,181.8,986.4,0.00,72.3,3.3,3.84,0.056,35,37,8,51,44
2/17/2015,0.5,2.6,-0.7,89.7,1.4,6.2,298.6,997.6,0.00,14.0,-2.5,2.38,0.039,13,35,8,43,39
2/18/2015,1.6,3.0,0.0,76.4,1.6,5.6,100.9,1006.0,0.00,31.2,6.8,2.87,0.046,20,38,11,42,34
2/19/2015,1.3,6.8,-1.5,69.8,1.7,6.2,177.6,999.1,0.00,75.7,-0.8,3.88,0.059,26,37,13,37,31
2/20/2015,5.6,14.6,-1.5,55.7,1.9,9.3,189.4,985.0,0.00,126.6,3.7,4.98,0.081,65,59,10,34,26
2/21/2015,6.0,8.4,2.8,56.4,2.5,10.9,238.9,970.2,0.00,52.3,-5.3,3.55,0.059,6,26,31,12,8
2/22/2015,4.1,8.6,1.2,72.6,1.4,5.1,187.1,976.4,0.18,67.9,-0.5,3.79,0.060,17,42,10,24,18
2/23/2015,3.8,7.5,0.4,78.5,2.5,10.0,222.5,970.7,0.70,34.1,-23.2,2.91,0.048,11,38,15,13,11
2/24/2015,5.1,7.1,2.9,68.2,2.3,8.3,233.1,976.7,2.22,65.6,6.8,3.57,0.051,10,35,19,11,6
2/25/2015,5.1,11.2,1.0,62.4,1.6,6.1,239.2,986.1,0.07,113.3,13.9,5.43,0.088,22,45,13,18,10
2/26/2015,5.3,11.5,0.3,52.0,1.6,5.9,185.2,986.9,0.12,144.2,22.1,5.56,0.088,31,50,11,20,13
2/27/2015,4.1,5.4,3.0,72.0,1.7,9.2,262.5,981.0,5.96,24.2,-15.5,2.63,0.046,10,39,17,14,11
2/28/2015,4.7,9.1,1.9,67.1,1.7,6.5,228.1,987.4,0.14,91.3,7.4,4.69,0.075,9,31,19,19,13
3/1/2015,7.2,11.5,1.8,73.0,2.9,11.8,224.6,977.9,1.20,56.2,4.6,4.95,0.104,5,21,25,8,6
3/2/2015,6.9,10.7,3.2,71.5,3.9,14.1,254.8,977.3,3.29,66.9,-14.4,5.46,0.113,2,12,42,4,2
3/3/2015,7.1,12.2,2.6,50.6,3.0,10.1,232.5,988.7,0.05,136.9,28.3,6.69,0.129,7,26,28,11,5
3/4/2015,5.3,9.1,3.1,56.5,2.5,9.9,264.0,993.3,0.06,127.7,24.9,5.29,0.080,5,20,32,9,4
3/5/2015,4.9,8.3,2.9,56.2,2.2,8.8,288.0,1002.0,0.00,104.1,31.2,4.79,0.073,7,26,25,14,7
3/6/2015,5.1,11.6,0.0,58.4,1.5,6.5,165.1,1004.0,0.00,135.2,23.1,5.93,0.104,41,58,6,24,15
3/7/2015,6.1,13.0,-0.1,54.7,1.4,6.3,162.0,1000.0,0.00,131.3,14.1,5.21,0.085,46,62,8,24,17
3/8/2015,8.3,17.5,1.2,55.4,1.4,3.9,142.5,994.6,0.00,145.6,19.0,5.37,0.090,37,55,5,25,19
3/9/2015,9.5,19.0,2.6,55.1,1.5,4.8,146.3,993.1,0.00,164.6,26.4,5.49,0.093,62,66,4,34,21
3/10/2015,8.6,14.9,2.8,66.4,1.6,6.8,218.6,994.1,0.33,114.8,26.0,4.50,0.081,43,47,10,35,25
3/11/2015,7.3,10.9,1.9,59.7,1.9,8.5,146.1,996.1,0.66,152.4,35.2,5.47,0.091,19,41,9,26,18
3/12/2015,5.1,11.0,-0.4,52.8,1.8,7.9,129.5,996.4,0.00,132.4,18.3,5.28,0.086,40,55,8,23,15
3/13/2015,4.3,8.5,0.2,56.1,2.0,8.9,114.4,990.6,0.00,115.1,15.9,4.85,0.076,30,46,10,28,21
3/14/2015,4.0,7.2,-0.1,68.6,1.7,5.9,92.6,990.4,0.00,54.7,3.6,3.63,0.062,34,43,6,39,33
3/15/2015,6.4,11.0,2.1,63.1,1.6,8.0,69.2,990.5,0.00,129.3,27.8,5.06,0.075,21,31,9,35,32
3/16/2015,8.8,18.6,1.6,55.2,1.5,5.1,143.5,989.5,0.00,178.6,45.3,5.98,0.097,44,56,5,39,29
3/17/2015,11.3,20.7,3.7,50.2,1.7,6.2,139.5,990.4,0.00,169.4,45.9,6.75,0.132,47,64,6,35,24
3/18/2015,11.7,19.3,5.4,53.8,1.8,6.4,151.6,991.5,0.00,173.2,40.2,6.60,0.130,39,61,6,42,28
3/19/2015,10.7,17.7,4.7,54.0,1.7,6.3,132.4,992.2,0.00,176.4,37.3,6.39,0.124,36,64,7,47,33
3/20/2015,9.2,17.0,2.4,49.9,1.6,5.0,130.8,990.8,0.00,166.5,23.7,5.80,0.099,40,68,8,48,33
3/21/2015,7.1,14.0,2.8,63.7,2.1,10.1,269.0,985.3,0.00,112.6,25.6,5.33,0.098,18,44,14,49,39
3/22/2015,6.9,10.0,3.7,66.7,2.3,8.8,59.1,987.6,0.00,49.5,9.3,3.59,0.066,12,27,16,33,29
