date,mean_temp,max_temp,min_temp,humidity,mean_wspeed,max_wspeed,wdegree,pressure,rainfall,radiation,radiation_balance,uva,uvb,no,no2,ozone,PM10,PM2_5
1/1/2017,-2.8,2.4,-5.3,86.2,1.2,3.0,220.0,985.7,0.00,53.1,-17.4,3.20,0.040,,,3,212,
1/2/2017,0.0,1.8,-3.4,87.5,1.5,4.0,292.4,985.2,0.47,10.2,-11.1,2.25,0.032,,,8,18,
1/3/2017,1.1,3.5,-0.3,74.7,1.6,5.0,222.1,989.0,0.00,29.3,-4.2,2.79,0.039,,,14,8,
1/4/2017,2.1,3.5,,76.6,3.5,8.8,305.6,980.1,0.56,13.0,-21.9,2.37,0.036,,,33,2,
1/5/2017,0.2,2.5,-3.2,66.2,2.7,5.6,26.1,989.4,0.00,28.5,-30.2,3.15,0.046,,,28,15,
1/6/2017,-5.2,0.0,-8.7,63.6,1.5,3.3,202.8,1001.1,0.00,66.0,-46.8,4.18,0.053,,,17,11,
1/7/2017,-5.2,0.0,-9.7,61.6,1.2,3.6,62.8,996.5,0.27,37.4,-3.8,3.50,0.043,,,5,24,
1/8/2017,-0.1,1.7,-2.8,91.5,0.9,3.6,46.2,992.8,1.73,4.7,-17.5,2.48,0.042,,,6,14,
1/9/2017,1.6,3.2,0.0,74.7,1.4,4.9,203.9,989.2,0.00,18.6,0.5,2.34,0.031,,,13,11,
1/10/2017,0.6,1.8,-0.7,80.5,1.4,3.5,23.3,975.4,0.49,15.7,-11.6,2.41,0.032,,,,13,
1/11/2017,3.2,6.6,,81.6,2.7,7.5,232.9,975.6,2.52,35.4,-4.8,4.19,0.078,,,,3,
1/12/2017,5.1,6.4,,81.8,2.1,9.0,213.9,973.5,2.76,23.1,-12.7,5.37,0.122,,,20,5,
1/13/2017,2.9,4.5,-9.4,57.5,4.9,13.8,224.4,965.6,0.08,27.3,-26.8,3.02,0.046,,,46,,
1/14/2017,1.7,3.8,-0.6,71.6,3.2,8.3,226.4,975.0,0.20,38.0,-15.8,2.94,0.033,,,38,5,
1/15/2017,0.5,2.3,-0.7,72.5,2.2,6.5,264.3,982.7,0.06,42.5,-13.5,3.09,0.033,,,34,5,
1/16/2017,-1.3,0.1,-3.0,77.5,1.9,4.7,22.6,986.8,0.65,20.4,-17.6,2.71,0.031,,,19,15,
1/17/2017,-2.9,0.0,-4.6,66.9,2.5,5.2,33.4,994.4,0.00,52.5,-26.7,3.48,0.036,,,18,22,
1/18/2017,-2.9,0.0,-4.5,57.2,2.8,8.4,18.1,996.9,0.00,56.0,-30.3,3.57,0.037,,,20,23,
1/19/2017,-4.0,0.4,-7.3,65.2,1.6,4.5,218.1,996.2,0.00,70.5,-34.9,3.77,0.039,,,9,42,
1/20/2017,-3.8,2.0,-8.0,64.3,1.5,3.7,217.3,994.6,0.00,74.7,-31.8,3.79,0.040,,,6,40,
1/21/2017,-3.8,2.2,-8.4,67.8,1.4,3.2,213.5,991.8,0.00,73.2,-30.5,3.78,0.041,,,6,49,
1/22/2017,-4.6,1.2,-8.7,72.9,1.7,3.3,208.2,988.1,0.00,78.8,-31.3,3.84,0.042,,,6,55,
